counter,defense,c_fraction,tip_probability,mean_defection_rate
cooptation,alternative_interdependence,0.048666666666666664,0.74,0.45854198473282437
cooptation,alternative_interdependence,0.05833333333333333,0.9,0.5165279878971254
cooptation,alternative_interdependence,0.06799999999999999,0.88,0.5320764617691155
cooptation,alternative_interdependence,0.07766666666666665,0.97,0.5950705270972533
cooptation,alternative_interdependence,0.08733333333333332,0.99,0.6170125091979396
cooptation,alternative_interdependence,0.09699999999999999,1.0,0.6305689277899343
cooptation,alternative_interdependence,0.10666666666666665,1.0,0.6412219812002893
cooptation,alternative_interdependence,0.11633333333333332,1.0,0.6526021505376346
cooptation,alternative_interdependence,0.126,1.0,0.6701421464108032
cooptation,alternative_interdependence,0.13566666666666666,1.0,0.6794714587737843
cooptation,alternative_interdependence,0.14533333333333331,1.0,0.6877148846960169
cooptation,alternative_interdependence,0.155,1.0,0.7127373527373525
cooptation,alternative_interdependence,0.16466666666666666,1.0,0.72953264604811
cooptation,alternative_interdependence,0.1743333333333333,1.0,0.7537695978186776
cooptation,alternative_interdependence,0.184,1.0,0.7704662162162161
cooptation,alternative_interdependence,0.19366666666666665,1.0,0.7889276139410188
cooptation,alternative_interdependence,0.2033333333333333,1.0,0.8445412234042554
cooptation,alternative_interdependence,0.213,1.0,0.8519591029023746
cooptation,alternative_interdependence,0.22266666666666665,1.0,0.8977486910994766
cooptation,alternative_interdependence,0.2323333333333333,1.0,0.9255064935064933
cooptation,alternative_interdependence,0.242,1.0,0.9311018041237112
cooptation,alternative_interdependence,0.25166666666666665,1.0,0.9604475703324806
cooptation,alternative_interdependence,0.2613333333333333,1.0,0.9622842639593908
cooptation,alternative_interdependence,0.27099999999999996,1.0,0.9677518891687659
cooptation,alternative_interdependence,0.2806666666666666,1.0,0.9749812500000001
cooptation,alternative_interdependence,0.29033333333333333,1.0,0.9807816377171216
cooptation,alternative_interdependence,0.3,1.0,0.9812492307692309
decapitation,none,0.01,0.0,0.3062583333333333
decapitation,none,0.019666666666666666,0.26,0.5125660066006601
decapitation,none,0.02933333333333333,1.0,0.6161846405228758
decapitation,none,0.039,1.0,0.6191504854368932
decapitation,none,0.048666666666666664,1.0,0.6285897435897435
decapitation,none,0.05833333333333333,1.0,0.6520079365079368
decapitation,none,0.06799999999999999,1.0,0.6660849056603773
decapitation,none,0.07766666666666665,1.0,0.698591439688716
decapitation,none,0.08733333333333332,1.0,0.7057979953739398
decapitation,none,0.09699999999999999,1.0,0.7249809014514896
decapitation,none,0.10666666666666665,1.0,0.7569417108251326
decapitation,none,0.11633333333333332,1.0,0.7746886721680418
decapitation,none,0.126,1.0,0.8135910780669144
decapitation,none,0.13566666666666666,1.0,0.8226750184229918
decapitation,none,0.14533333333333331,1.0,0.843345507669832
decapitation,none,0.155,1.0,0.8738305575669805
decapitation,none,0.16466666666666666,1.0,0.8941421392677674
decapitation,none,0.1743333333333333,1.0,0.9121637010676157
decapitation,none,0.184,1.0,0.9251551480959098
decapitation,none,0.19366666666666665,1.0,0.9262027972027971
decapitation,none,0.2033333333333333,1.0,0.9401941747572813
decapitation,none,0.213,1.0,0.945123796423659
decapitation,none,0.22266666666666665,1.0,0.9530627557980901
decapitation,none,0.2323333333333333,1.0,0.9516035182679297
decapitation,none,0.242,1.0,0.9559530201342282
decapitation,none,0.25166666666666665,1.0,0.9634354194407457
decapitation,none,0.2613333333333333,1.0,0.9662087186261559
decapitation,none,0.27099999999999996,1.0,0.969475753604194
decapitation,none,0.2806666666666666,1.0,0.9729063719115736
decapitation,none,0.29033333333333333,1.0,0.9788838709677418
decapitation,none,0.3,1.0,0.9792962252079335
decapitation,distributed_leadership,0.01,0.0,0.3173333333333333
decapitation,distributed_leadership,0.019666666666666666,0.21,0.5075577557755776
decapitation,distributed_leadership,0.02933333333333333,1.0,0.6137826797385622
decapitation,distributed_leadership,0.039,1.0,0.618794498381877
decapitation,distributed_leadership,0.048666666666666664,1.0,0.6280849358974359
decapitation,distributed_leadership,0.05833333333333333,1.0,0.6542460317460319
decapitation,distributed_leadership,0.06799999999999999,1.0,0.661933962264151
decapitation,distributed_leadership,0.07766666666666665,1.0,0.6927782101167317
decapitation,distributed_leadership,0.08733333333333332,1.0,0.7099460292983809
