c_fraction,counter,defense,system_tipped,final_defection_rate,steps_to_equilibrium
0.3,cooptation,redundant_channels,True,0.804923076923077,39
0.3,cooptation,redundant_channels,True,0.8258461538461539,40
0.3,cooptation,redundant_channels,True,0.8670769230769231,45
0.3,cooptation,redundant_channels,True,0.8523076923076923,40
0.3,cooptation,redundant_channels,True,0.9563076923076923,55
0.3,cooptation,redundant_channels,True,0.8387692307692308,42
0.3,cooptation,redundant_channels,True,0.7901538461538462,38
0.3,cooptation,redundant_channels,True,0.8344615384615385,45
0.3,cooptation,redundant_channels,True,0.8283076923076923,52
0.3,cooptation,redundant_channels,True,0.8086153846153846,42
0.3,cooptation,redundant_channels,True,0.8172307692307692,43
0.3,cooptation,redundant_channels,True,0.8609230769230769,40
0.3,cooptation,redundant_channels,True,0.8664615384615385,42
0.3,cooptation,redundant_channels,True,0.827076923076923,41
0.3,cooptation,redundant_channels,True,0.811076923076923,40
0.3,cooptation,redundant_channels,True,0.8467692307692307,47
0.3,cooptation,redundant_channels,True,0.8510769230769231,39
0.3,cooptation,redundant_channels,True,0.8603076923076923,43
0.3,cooptation,redundant_channels,True,0.8375384615384616,48
0.3,cooptation,redundant_channels,True,0.8467692307692307,41
0.3,cooptation,redundant_channels,True,0.8153846153846154,40
0.3,cooptation,redundant_channels,True,0.8744615384615385,44
0.3,cooptation,redundant_channels,True,0.8233846153846154,39
0.3,cooptation,redundant_channels,True,0.7550769230769231,40
0.3,cooptation,redundant_channels,True,0.8178461538461539,37
0.3,cooptation,redundant_channels,True,0.832,43
0.3,cooptation,redundant_channels,True,0.8707692307692307,37
0.3,cooptation,redundant_channels,True,0.8486153846153847,38
0.3,cooptation,redundant_channels,True,0.8443076923076923,44
0.3,cooptation,redundant_channels,True,0.8369230769230769,39
0.3,cooptation,redundant_channels,True,0.820923076923077,40
0.3,cooptation,redundant_channels,True,0.8252307692307692,37
0.3,cooptation,redundant_channels,True,0.8166153846153846,39
0.3,cooptation,redundant_channels,True,0.8683076923076923,47
0.3,cooptation,redundant_channels,True,0.8153846153846154,39
0.3,cooptation,redundant_channels,True,0.8916923076923077,56
0.3,cooptation,redundant_channels,True,0.8184615384615385,38
