scenario,c_fraction,system_tipped,final_defection_rate,steps_to_equilibrium
no_coupling,0.02933333333333333,False,0.06765163297045101,51
no_coupling,0.02933333333333333,False,0.06842923794712286,58
no_coupling,0.02933333333333333,False,0.056765163297045104,48
no_coupling,0.02933333333333333,False,0.2099533437013997,61
no_coupling,0.02933333333333333,False,0.18351477449455678,56
no_coupling,0.02933333333333333,False,0.416796267496112,61
no_coupling,0.02933333333333333,False,0.19828926905132194,56
no_coupling,0.02933333333333333,False,0.416796267496112,60
no_coupling,0.02933333333333333,False,0.18662519440124417,48
no_coupling,0.02933333333333333,False,0.07698289269051321,49
no_coupling,0.02933333333333333,False,0.18351477449455678,52
no_coupling,0.02933333333333333,False,0.416796267496112,63
no_coupling,0.02933333333333333,False,0.18351477449455678,58
no_coupling,0.02933333333333333,False,0.18429237947122862,46
no_coupling,0.02933333333333333,False,0.07465007776049767,59
no_coupling,0.02933333333333333,False,0.416796267496112,59
no_coupling,0.02933333333333333,False,0.18351477449455678,53
no_coupling,0.02933333333333333,False,0.416796267496112,73
no_coupling,0.02933333333333333,False,0.18584758942457233,48
no_coupling,0.02933333333333333,False,0.18351477449455678,57
no_coupling,0.02933333333333333,False,0.06298600311041991,49
no_coupling,0.02933333333333333,False,0.18584758942457233,48
no_coupling,0.02933333333333333,False,0.416796267496112,50
no_coupling,0.02933333333333333,False,0.416796267496112,60
no_coupling,0.02933333333333333,False,0.18351477449455678,56
no_coupling,0.02933333333333333,False,0.07698289269051321,48
no_coupling,0.02933333333333333,False,0.18351477449455678,56
no_coupling,0.02933333333333333,False,0.18351477449455678,53
no_coupling,0.02933333333333333,False,0.061430793157076204,46
no_coupling,0.02933333333333333,False,0.18351477449455678,51
no_coupling,0.02933333333333333,False,0.18351477449455678,52
no_coupling,0.02933333333333333,False,0.06920684292379471,47
no_coupling,0.02933333333333333,False,0.18351477449455678,60
